what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1350974932578
stopped,bundle,oracle.eclipse.tools.glassfish,3.2.0.201101241555,"oracle.eclipse.tools.glassfish",1350974932578
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1350974932609
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1350974932687
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1350974932734
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1350974932765
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1350974932828
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1350974932890
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1350974932906
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1350974932921
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1350974933000
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1350974933078
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1350974933156
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1350974933171
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1350974933234
stopped,bundle,org.jboss.tools.hibernate.xml.ui,3.4.0.v20110215-1252-H31-GA,"org.jboss.tools.hibernate.xml.ui",1350974933250
stopped,bundle,org.jboss.tools.common.model.ui,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.model.ui",1350974933265
stopped,bundle,org.jboss.tools.common.text.ext,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.text.ext",1350974933312
stopped,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1350974933468
stopped,bundle,org.jboss.tools.hibernate.ui,3.4.0.v20110215-1252-H31-GA,"org.jboss.tools.hibernate.ui",1350974933546
stopped,bundle,org.jboss.tools.hibernate.ui.veditor,3.2.4.Beta1-R200810311334,"org.jboss.tools.hibernate.ui.veditor",1350974933578
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1355762507703
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1355762507703
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1355762507718
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1355762507718
started,bundle,com.python.pydev.analysis,1.5.7.2010050621,"com.python.pydev.analysis",1355762507750
started,bundle,eclipseme.core,1.7.9,"eclipseme.core",1355762507843
started,bundle,eclipseme.core.hooks,1.6.5,"eclipseme.core.hooks",1355762507859
started,bundle,eclipseme.ui,1.7.8,"eclipseme.ui",1355762507953
started,bundle,net.sf.eclipsecs.core,5.3.0.201012121300,"net.sf.eclipsecs.core",1355762507984
started,bundle,net.sf.eclipsecs.ui,5.3.0.201012121300,"net.sf.eclipsecs.ui",1355762508140
started,bundle,oracle.eclipse.tools.common,3.2.0.201101271036,"oracle.eclipse.tools.common",1355762508234
started,bundle,oracle.eclipse.tools.common.services.ui,3.2.0.201101271036,"oracle.eclipse.tools.common.services.ui",1355762508343
started,bundle,oracle.eclipse.tools.common.ui,3.2.0.201101271036,"oracle.eclipse.tools.common.ui",1355762508421
started,bundle,oracle.eclipse.tools.common.upgrade,3.2.0.201101271036,"oracle.eclipse.tools.common.upgrade",1355762508453
started,bundle,oracle.eclipse.tools.envcheck,3.2.0.201101271036,"oracle.eclipse.tools.envcheck",1355762508515
started,bundle,oracle.eclipse.tools.glassfish,3.2.0.201101241555,"oracle.eclipse.tools.glassfish",1355762508671
started,bundle,oracle.eclipse.tools.orm,3.2.0.201101271036,"oracle.eclipse.tools.orm",1355762508671
started,bundle,oracle.eclipse.tools.spring,3.2.0.201101271036,"oracle.eclipse.tools.spring",1355762508671
started,bundle,oracle.eclipse.tools.spring.ui,3.2.0.201101271036,"oracle.eclipse.tools.spring.ui",1355762508828
started,bundle,oracle.eclipse.tools.weblogic,3.2.0.201101271036,"oracle.eclipse.tools.weblogic",1355762508828
started,bundle,oracle.eclipse.tools.weblogic.scripting.ui,3.2.0.201101271036,"oracle.eclipse.tools.weblogic.scripting.ui",1355762508937
started,bundle,oracle.eclipse.tools.weblogic.ui,3.2.0.201101271036,"oracle.eclipse.tools.weblogic.ui",1355762508937
started,bundle,oracle.eclipse.tools.webtier.common.services,3.2.0.201101271036,"oracle.eclipse.tools.webtier.common.services",1355762509015
started,bundle,oracle.eclipse.tools.webtier.ui,3.2.0.201101271036,"oracle.eclipse.tools.webtier.ui",1355762509109
started,bundle,oracle.eclipse.tools.xmlbeans,3.2.0.201101271036,"oracle.eclipse.tools.xmlbeans",1355762509109
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1355762509156
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1355762509250
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1355762509312
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1355762509343
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1355762509406
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515-p002,"org.eclipse.core.jobs",1355762509437
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1355762509468
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1355762509609
